rank,company_name,city,category,number_of_employees,description,company_website,careers_page,company_linkedin,office_address,remote_hq
17,Kinective,Tempe,Business Mgt and ERP,51-200,Cash automation software for financial institutions,http://www.whycfm.com/,http://www.whycfm.com/join-us/,https://www.linkedin.com/company/cash-flow-management-inc./about/,"1232 E Baseline Rd, Tempe, Arizona 85283, US",Local HQ
18,KUBRA,Tempe,Sales and Marketing,501-1000,Customer experience management platform,https://kubra.com/,https://kubra.com/about-us/careers/,https://www.linkedin.com/company/kubra-data-transfer/about/,"40 E Rio Salado Pkwy, Suite 535, Tempe, AZ 85281",Local HQ
19,Lumenbrite,Tempe,Marketplace,1-10,Adobe Digital Design training,https://lumenbrite.com/,https://lumenbrite.com/jobs/,https://www.linkedin.com/company/lumenbrite/about/,"1095 W Rio Salado Pkwy A102, Tempe, AZ 85281",Remote Office
20,Microsoft,Tempe,Business Mgt and ERP,10001+,"Operating systems, office suite, enterprise software, cloud hosting, gaming",https://www.microsoft.com/en-us/,https://careers.microsoft.com/us/en/,https://www.linkedin.com/company/microsoft/about/,"60 E Rio Salado Parkway, Suite 1200. Tempe, AZ, 85281",Remote Office
21,Moov,Tempe,Marketplace,51-200,Used semiconductor marketplace,http://www.moov.co/,https://www.moov.co/careers,https://www.linkedin.com/company/moov-technologies-inc/about/,"100 S Mill Ave, Suite 1600, Tempe, AZ 85281",Local HQ
22,Norton LifeLock,Tempe,Cybersecurity,1001-5000,Identity theft protection technologies,https://lifelock.norton.com/,https://www.nortonlifelock.com/us/en/careers/,https://www.linkedin.com/company/nortonlifelock/about/,"60 E Rio Salado Pkwy #400, Tempe, AZ 85281",Local HQ
23,OvationCXM,Tempe,Business Mgt and ERP,51-200,Customer experience management software,https://www.ovationcxm.com/,https://www.ovationcxm.com/careers-open,https://www.linkedin.com/company/ovationcxm/about/,"950 W Elliot Road, Suite 110, Tempe, AZ 85284",Remote Office
24,Pagely,Tempe,Cloud and Software Dev Tools,11-50,Enterprise WordPress website hosting,https://pagely.com/,https://pagely.com/careers/,https://www.linkedin.com/company/pagely/about/,"100 S. Mill Ave Suite 1600, Tempe, AZ 85281 USA",Local HQ
25,Pretorin,Tempe,Compliance,1-10,AI Powered Compliance,https://pretorin.com,https://pretorin.com/careers,https://www.linkedin.com/company/pretorin,"222 S. Mill Ave
Suite 800
Tempe, AZ 85281",Local HQ
26,"Project Iceberg, Inc",Tempe,HR and Recruiting,1-10,Project Iceberg builds technology products to enable better human resource decisions,https://projecticeberg.us/,https://www.linkedin.com/company/project-iceberg-inc/jobs/,https://www.linkedin.com/company/103298419/admin/dashboard/,"995 Market St, San Francisco, CA 94103",Local HQ
27,Protos Software,Tempe,Business Mgt and ERP,1-10,Software applications for the commercial aviation industry,http://www.protossoft.com/,https://www.protossoft.com/careers/,https://www.linkedin.com/company/protos-software-llc/about/,4500 S . Lakeshore Drive #338 Tempe AZ 85282 USA,Local HQ
28,RadialSpark,Tempe,Cloud and Software Dev Tools,11-50,Foundation app for developing Node.js apps on Heroku,https://www.radialspark.com/,https://www.radialspark.com/careers,https://www.linkedin.com/company/radialspark/about/,"222 S. Mill Ave., 8th Floor, Tempe, AZ 85281",Local HQ
29,REPAY,Tempe,Payments,201-500,Payment solutions provider for restaurant and hospitality,http://www.repay.com/,https://www.repay.com/careers/,https://www.linkedin.com/company/repay-holdings/about/,"1900 West University Drive, Tempe, AZ 85281",Remote Office
30,Reputation,Tempe,Sales and Marketing,501-1000,Online reputation management platform,https://www.reputation.com/,https://www.reputation.com/careers/,https://www.linkedin.com/company/reputation-com/about/,"1355 N Scottsdale Rd, Suite 450, Scottsdale, AZ 85257",Remote Office
31,Ring (Amazon),Tempe,Personal Real Estate,1001-5000,"Security monitoring, devices and platform",http://www.ring.com/,https://www.amazon.jobs/en/teams/ring/,https://www.linkedin.com/company/ring-labs/about/,"8260 S Hardy Dr, Tempe, AZ 85284",Remote Office
32,Salucro,Tempe,Accounting and Finance,51-200,Payment billing platform,https://www.salucro.com/home/,https://www.salucro.com/home/about/careers/,https://www.linkedin.com/company/salucro-healthcare-solutions/about/,"51 W. 3RD STREET #310, TEMPE, AZ 85281",Local HQ
33,SAP,Tempe,Business Mgt and ERP,10001+,ERP and business management software,http://www.sap.com/,https://www.sap.com/about/careers.html/,https://www.linkedin.com/company/sap/about/,"1101 W Washington St, Suite 401, Tempe, Arizona 85281",Remote Office
34,Shilo,Tempe,Personal Real Estate,1-10,"intuitive AI assistant built for high-performing real estate teams that listens, coaches, and guides your agents in real time so they can close with confidence",https://shilo.ai/,https://www.linkedin.com/company/shilo-ai/jobs/,https://www.linkedin.com/company/shilo-ai/,,Local HQ
35,Shutterfly,Tempe,Lifestyle,10001+,Photography archiving and lifestyle,http://www.shutterflyinc.com/,https://jobs.jobvite.com/shutterfly,https://www.linkedin.com/company/shutterfly/about/,"7195 S. Shutterfly Way, Tempe, AZ 85283,",Remote Office
36,Siemens Digital Industries Software,Tempe,Business Mgt and ERP,5001-10000,"Software enabling engineering, manufacturing, and electronics design",https://www.sw.siemens.com/,https://new.siemens.com/global/en/company/jobs/search-careers.html/,https://www.linkedin.com/company/siemenssoftware/about/,"58 South River Drive, Tempe, AZ 85281",Remote Office
37,Soraban,Tempe,Accounting and Finance,11-50,Client data collection software built for accounting firms,https://www.soraban.com/,https://www.ycombinator.com/companies/soraban/jobs/,https://www.linkedin.com/company/sorabansoftware/about/,"Tempe, AZ",Local HQ
38,Tyler Technologies,Tempe,Business Mgt and ERP,5001-10000,"Management software for governments, schools and cities",https://www.tylertech.com/,https://www.tylertech.com/careers/,https://www.linkedin.com/company/tyler-technologies/about/,"8950 S. 52nd St., Suite 309, Tempe, AZ 85284",Remote Office
39,Uber,Tempe,Personal On-Demand Services,10001+,Ridesharing and food delivery platform,http://www.uber.com/,https://www.uber.com/us/en/careers/,https://www.linkedin.com/company/uber-com/about/,"1414 W Broadway Rd, Tempe, AZ 85282,",Remote Office
40,Verkada,Tempe,Automation,1001-5000,IoT enabled security cameras,https://www.verkada.com/,https://www.linkedin.com/company/verkada/jobs/,https://www.linkedin.com/company/verkada/about/,"410 N. Scottsdale Road, Tempe, AZ 85281",Remote Office
41,VisualVault,Tempe,Business Mgt and ERP,11-50,Enterprise automation and business process management,https://www.visualvault.com/,https://www.visualvault.com/company/careers/,https://www.linkedin.com/company/visualvault/about/,"2050 E ASU Circle #103, Tempe, AZ 85284",Local HQ
42,Zenefits,Tempe,HR and Recruiting,501-1000,HR and payroll software for small- and mid-sized businesses,http://www.zenefits.com/,https://www.zenefits.com/careers/,https://www.linkedin.com/company/zenefits/about/,"40 E Rio Salado Pkwy, Tempe, Arizona 85281",Remote Office
43,ZipRecruiter,Tempe,HR and Recruiting,1001-5000,Job posting site for businesses and job searchers,https://www.ziprecruiter.com/,https://www.ziprecruiter.com/careers/,https://www.linkedin.com/company/ziprecruiter/about/,"40 E Rio Salado Pkwy, Tempe, AZ 85281",Remote Office
44,1st Providers Choice,Chandler,Practice Management,11-50,Electronic medical records and practice mgmt software,http://www.1stproviderschoice.com/,https://1stproviderschoice.com/contact-us/careers.php/,https://www.linkedin.com/company/1st-providers-choice/about/,"Chandler, AZ",Local HQ
45,Annuit,Chandler,Automation,1-10,Automated record keeping,https://annuit.com/,https://www.linkedin.com/company/annuit/jobs/,https://www.linkedin.com/company/annuit/,,Local HQ
46,Brightside,Chandler,Accounting and Finance,51-200,Employer-recommended financial solutions platform,https://www.gobrightside.com/,https://www.gobrightside.com/careers/,https://www.linkedin.com/company/gobrightside/about/,"55 N Arizona Pl, Suite 205, Chandler, Arizona 85225, US",Local HQ
47,Broadcom,Chandler,IT Mgt,10001+,Enterprise software,https://www.broadcom.com/,https://www.broadcom.com/company/careers/,https://www.linkedin.com/company/broadcom/about/,"500 North Juniper Drive, Chandler Corporate Center, Suite 200, Floor 2, Chandler, Arizona 85226",Remote Office
48,"CampusLogic, powered by Ellucian",Chandler,Student Mgt,51-200,College financial aid application platform,http://campuslogic.com/,https://careers.ellucian.com/careers-home,https://www.linkedin.com/company/campuslogic/about/,"1340 S Spectrum Blvd, Chandler, AZ 85286",Local HQ
49,Fizy Ai,Chandler,Automation,1-10,Connecting Real-Time AI To The World,https://fizy.ai,https://fizy.ai/company/careers#positions,https://www.linkedin.com/company/110224058/admin/dashboard/,1309 Coffeen Ave,Local HQ
50,inkfrog,Chandler,eCommerce,1-10,eBay listing tool,https://www.inkfrog.com/,https://www.inkfrog.com/company/careers/,https://www.linkedin.com/company/inkfrog-inc./about/,"2410 S Gilbert Rd, Chandler, AZ 85286",Local HQ
51,Intel,Chandler,IT Mgt,10001+,Computing devices,https://www.intel.com/content/www/us/en/homepage.html,https://www.intel.com/content/www/us/en/jobs/jobs-at-intel.html/,https://www.linkedin.com/company/intel-corporation/about/,"5000 W Chandler Blvd, 85226",Remote Office
52,Keap,Chandler,Sales and Marketing,201-500,Sales and marketing automation for small businesses,https://keap.com/,https://keap.com/about/careers/,https://www.linkedin.com/company/keap-growing/about/,"1260 S Spectrum Blvd, Chandler, AZ 85286",Local HQ
53,LexisNexis Risk Solutions,Chandler,Analytics and BI,1001-5000,Analytics for risk mitigation,https://risk.lexisnexis.com/,https://risk.lexisnexis.com/about-us/careers/,https://www.linkedin.com/company/lexisnexis-risk-solutions/about/,"25 South Arizona Place, Suite 400, Chandler, AZ 85255",Remote Office
54,"Logos, formerly Faithlife",Chandler,Personal eLearning,201-500,Bible and church management software,https://faithlife.com/,https://faithlife.com/careers,https://www.linkedin.com/company/faithlife/about/,"398 S Arizona Ave, Chandler, AZ 85225",Remote Office
55,McCormick Systems,Chandler,Business Mgt and ERP,11-50,Construction project management and billing software,https://mccormicksys.com/,https://www.mccormicksys.com/employment-opportunities/,https://www.linkedin.com/company/mccormick-systems/about/,"149 West Boston Street, Chandler, AZ 85225",Local HQ
56,Mobivity,Chandler,Sales and Marketing,51-200,Mobile marketing platform for restaurants and retail,https://mobivity.com/,https://www.linkedin.com/jobs/search/?f_C=389308&locationId=OTHERS.worldwide/,https://www.linkedin.com/company/mobivity/about/,"3133 West Frye Road, Suite 215, Chandler, AZ 85226, US",Local HQ
57,Modrinth,Chandler,Games and Entertainment,1-10,Open source Minecraft modding platform,https://modrinth.com/,https://modrinth.notion.site/Join-Modrinth-let-s-redefine-modding-for-games-2f8e1ebb423a456980d25e24f2747a96/,https://www.linkedin.com/company/rinth/about/,"Chandler, AZ",Local HQ
58,OfferPad,Chandler,Personal On-Demand Services,501-1000,Full-service home buyer with software platform,https://www.offerpad.com/,https://offerpad.atsondemand.com/,https://www.linkedin.com/company/offerpad/about/,"2150 E Germann Rd, 1, Chandler, Arizona 85286",Local HQ
59,PayPal,Chandler,Payments,10001+,Online financial transactions,https://paypal.com/,https://www.paypal.com/us/webapps/mpp/jobs/,https://www.linkedin.com/company/paypal/about/,"3000 One Payment Way, Chandler, AZ 85248",Remote Office
60,Pearson Education,Chandler,eLearning,10001+,Digital learning and education products for students and teachers,https://www.pearson.com/,http://pearson.jobs/chandler/arizona/usa/jobs/,https://www.linkedin.com/company/pearson/about/,"3075 W Ray Rd #200, Chandler, AZ 85226",Remote Office
61,Pillir,Chandler,Cloud and Software Dev Tools,11-50,Enterprise mobile app development platform,https://www.pillir.io/,https://www.pillir.io/career,https://www.linkedin.com/company/appsfreedom/about/,"3133 W. Frye Road, #101, Chandler, AZ 85226, US",Local HQ
62,ProCARE Portal,Chandler,Accounting and Finance,11-50,Provider compensation management platform,https://procareportal.com/why-procare/,https://procareportal.com/careers/,https://www.linkedin.com/company/procare-portal/about/,"2820 S Alma School Rd., Suite 18-457, Chandler, AZ 85286",Local HQ
63,Propertybase,Chandler,Sales and Marketing,51-200,CRM and marketing software for real estate,https://www.propertybase.com/,https://www.propertybase.com/resources/careers/,https://www.linkedin.com/company/propertybase/about/,"565 W Chandler Blvd Chandler, AZ 85225",Remote Office
64,Redtail Technology,Chandler,Sales and Marketing,51-200,CRM software for financial advisers,https://corporate.redtailtechnology.com/,https://corporate.redtailtechnology.com/careers/,https://www.linkedin.com/company/redtail-technology/about/,"5580 W Chandler Blvd, Chandler, AZ 85226",Remote Office
65,Resource Innovations,Chandler,IT Mgt,201-500,Software for managing critical systems and infrastructure,http://www.resource-innovations.com/,https://www.resource-innovations.com/careers/,https://www.linkedin.com/company/resourceinnovations/about/,"3100 W Ray Rd, Chandler, Arizona 85226, US",Remote Office
66,RYCOR,Chandler,Business Mgt and ERP,11-50,Business administration for k-12 schools,https://www.rycor.net/,https://rycor.net/careers/,https://www.linkedin.com/company/rycor-software/about/,"4960 S Gilbert Rd, Suite 1 – 267, Chandler, AZ 85249",Remote Office
67,Shiftx,Chandler,HR and Recruiting,11-50,Employee scheduling software for airline industry,http://shiftx.ai/,https://shiftx.ai/open-positions/,https://www.linkedin.com/company/shiftx/about/,"1490 S Price Rd, Chandler, Arizona 85286",Local HQ
68,Showit,Chandler,Sales and Marketing,51-200,Website platform for professional photographers,http://showit.co/,https://showit.com/careers,https://www.linkedin.com/company/showit/about/,"2490 S Gilbert Rd, Suite 200, Chandler, Arizona 85286, US",Local HQ
69,Streamline Vacation Rental Software,Chandler,Business Mgt and ERP,51-200,Vacation Rental Software,https://www.streamlinevrs.com/,https://www.streamlinevrs.com/company/careers/,https://www.linkedin.com/company/streamline-property-management-software/about/,"5580 W Chandler Blvd, Chandler, Arizona 85226, US",Local HQ
70,Strongmind,Chandler,eLearning,51-200,Software suite for managing online and blended education programs,https://www.strongmind.com/,https://www.strongmind.com/careers/,https://www.linkedin.com/company/strongmind/about/,"2501 North Arizona Avenue, Chandler, AZ 85225",Local HQ
71,Timeero,Chandler,HR and Recruiting,11-50,Employee time and attendance management platform,https://timeero.com/,https://reflective-tornado-19e.notion.site/Careers-at-Timeero-779e8a53486e4163a14d5ef28dc0b12d,https://www.linkedin.com/company/timeeroapp/about/,"25 S Arizona Pl, Suite 530, Chandler, Arizona 85225, US",Local HQ
72,DrFirst,Mesa,Personal Health Mgt,201-500,Digital prescription and medication management,https://www.drfirst.com/,https://www.drfirst.com/about-us/careers/,https://www.linkedin.com/company/drfirst/about/,"1640 South Stapley Drive Suite 122 Mesa, AZ 85204",Remote Office
73,Edupoint Educational Systems,Mesa,Business Mgt and ERP,201-500,Enterprise software for K-12 data management,http://www.edupoint.com/,http://www.edupoint.com/About-Us/Careers/,https://www.linkedin.com/company/edupoint-educational-systems-llc/about/,"1955 S Val Vista Dr # 200, Mesa, AZ 85204",Local HQ
74,eVisit,Mesa,Practice Management,51-200,Telehealth (video conference) and billing platform for doctors,https://evisit.com/,https://apply.workable.com/evisit/,https://www.linkedin.com/company/evisit/about/,"1201 S Alma School Rd, Mesa, Arizona 85210",Local HQ
75,JusticeTrax,Mesa,Practice Management,11-50,Case management software for forensic laboratories,http://www.justicetrax.com/,http://justicetrax.com/employment/,https://www.linkedin.com/company/justicetrax/about/,"1 N MacDonald, Suite 500, Mesa, Arizona 85201, US",Local HQ
76,Mitel,Mesa,Communications,1001-5000,Virtual phone system for business,http://www.mitel.com/,https://www.mitel.com/careers/,https://www.linkedin.com/company/mitel/about/,"2160 W Broadway Rd., Ste 103, Mesa, AZ 85202",Remote Office
77,Myndshft,Mesa,Accounting and Finance,11-50,Automated revenue and billing cycle management for healthcare,https://www.myndshft.com/,https://www.myndshft.com/careers/,https://www.linkedin.com/company/myndshft/about/,"5155 E. Eagle Drive #21992, Mesa, AZ 85277",Local HQ
78,Octaine Play,Mesa,Personal Sports and Fitness,11-50,Mobile sports games with swing motion technology,https://octaineplay.com/,https://www.aquimo.com/careers,https://www.linkedin.com/company/aquimo-sports/about/,"Mesa, AZ",Local HQ
79,OptimumHQ,Mesa,Cloud and Software Dev Tools,11-50,Business workflow software for non-programmers,https://www.optimumhq.com/,https://www.optimumhq.com/careers/,https://www.linkedin.com/company/optimumhq/about/,"971 N. Gilbert Rd., Suite 111, Gilbert, Arizona 85234",Local HQ
80,Persefoni,Mesa,Analytics and BI,201-500,Carbon footprint management and reporting platform,https://persefoni.com/,https://persefoni.com/careers/,https://www.linkedin.com/company/persefoni/about/,"2415 W Broadway Rd #41022, Mesa AZ 85274-3042",Local HQ
81,Prenda,Mesa,Student Mgt,51-200,Education program planning and management,http://prenda.co/,https://prendaschool.com/jobs/,https://www.linkedin.com/company/prenda/about/,"Mesa, AZ",Local HQ
82,Verra Mobility,Mesa,Logistics and Supply Chain,1001-5000,"Traffic, fleet and vehicle management solutions",http://www.verramobility.com/,https://www.verramobility.com/careers/,https://www.linkedin.com/company/verramobility/about/,"1150 N Alma School Road Mesa, Arizona 85201",Local HQ
83,CustomerHub,Gilbert,Sales and Marketing,1-10,Membership site & content mgmt for small businesses,https://www.customerhub.com/,https://www.customerhub.com/company/careers/,https://www.linkedin.com/company/customerhub-app/about/,"3317 S Higley Rd, #114-359, Gilbert, Arizona 85297",Local HQ
84,I.R. Gilyeat & Company,Gilbert,AI and Machine Learning,1-10,AI Detection-at the intersection of AI and humanity,www.irgilyeat.com,https://www.linkedin.com/company/i-r-gilyeat-company/jobs/,https://www.linkedin.com/company/i-r-gilyeat-company/,"Gilbert, Arizona",Local HQ
85,Payground,Gilbert,Accounting and Finance,11-50,Healthcare billing and payments software,https://payground.com/,https://payground.com/careers/,https://www.linkedin.com/company/paygroundinc/about/,"365 E. Germann Rd., Suite 280, Gilbert, AZ 85297",Local HQ
86,Raydian,Gilbert,AI and SaaS,1-10,Vibe Coding for Teams,https://raydian.dev/,https://www.linkedin.com/company/raydian-dev/jobs/,https://www.linkedin.com/company/raydian-dev,"2200 E. Williams Field Rd, STE 200, Gilbert, Arizona, 85295",Local HQ
87,SaveNaturally,Gilbert,AI and Machine Learning,1-10,The Customer Engagement Platform for Natural Product Brands.,www.savenaturally.com,https://www.linkedin.com/company/savenaturally/jobs/,https://www.linkedin.com/company/savenaturally/,,Local HQ
88,Acronis SCS,Scottsdale,Cloud and Software Dev Tools,11-50,Cloud backup and data protection for U.S. public sector,https://acronisscs.com/,https://acronisscs.com/careers/,https://www.linkedin.com/company/acronis-scs/about/,"6370 East Thomas Road, Suite 250, Scottsdale, AZ 85251",Local HQ
89,ACT!,Scottsdale,Sales and Marketing,51-200,Contact management and email software,https://www.act.com/,http://www.act.com/careers/,https://www.linkedin.com/company/swiftpage/about/,"8800 N Gainey Center Dr, Scottsdale, AZ 85258",Local HQ
90,ActualMetrics,Scottsdale,Analytics and BI,1-10,Website performance measurement software,http://www.actualmetrics.com/,https://www.actualmetrics.com/company/jobs/,https://www.linkedin.com/company/actual-metrics/about/,"14747 N Northsight Blvd., STE 111-411, Scottsdale, AZ 85260",Local HQ
91,Alert GPS,Scottsdale,Automation,11-50,GPS enabled wearable device with alert capabilities,http://alertgps.com/,https://alertgps.com/careers/,https://www.linkedin.com/company/alertgps/about/,"7047 E. Greenway Parkway, Scottsdale, AZ 85254",Local HQ
92,Allstate Identity Protection,Scottsdale,Fraud Mgt,201-500,Proactive identity and credit monitoring software,http://allstate.com/aip,https://www.allstateidentityprotection.com/business/about-us/join-our-team,https://www.linkedin.com/company/allstate-identity-protection/about/,"7350 N Dobson Rd, Suite 101, Scottsdale, Arizona 85256",Local HQ
93,Amplafide,Scottsdale,Sales and MArketing,1-10,"Amplafide is a home services software field management solution that manages job scheduling, dispatching, booking, price estimations, invoicing and payments.",https://www.amplafide.com,https://www.amplafide.com/Careers.html,https://www.linkedin.com/company/amplafide/,"5425 E Bell Rd. Suite 105, Scottsdale, AZ 85254",Local HQ
94,Annexus,Scottsdale,Accounting and Finance,51-200,Retirement planning software,https://www.annexus.com/,https://www.annexus.com/careers/,https://www.linkedin.com/company/the-annexus-group/about/,"16767 N Perimeter Drive, Suite 320 Scottsdale, AZ 85260",Local HQ
95,Arcoro,Scottsdale,HR and Recruiting,201-500,HR process management and automation software,https://www.arcoro.com/,https://arcoro.com/careers/,https://www.linkedin.com/company/arcorohr/about/,"9362 E Raintree Dr, Scottsdale, AZ 85260",Local HQ
96,Arrivia,Scottsdale,Sales and Marketing,1001-5000,Platform manages reward programs for travel industry,https://www.arrivia.com,https://careers.arrivia.com/,https://www.linkedin.com/company/arrivia/about/,"15147 N Scottsdale Rd, 210, Scottsdale, Arizona 85254, US",Local HQ
97,Artis,Scottsdale,Accounting and Finance,11-50,Empowering Banks and Lenders with Cloud Finance Solutions That Drive Growth,https://www.artistrade.com,https://www.linkedin.com/company/artis-trade-systems/jobs/,https://www.linkedin.com/company/artis-trade-systems/,,Local HQ
98,assisTek,Scottsdale,Practice Management,51-200,Mobile patient records for clinical trial assessment,http://www.assistek.com/,https://assistek.com/careers/,https://www.linkedin.com/company/assistek/about/,"2501 N. Hayden Rd. Suite 102, Scottsdale, AZ 85257",Remote Office
99,Attainia from Revalize,Scottsdale,Business Mgt and ERP,51-200,Capital equipment planning software for healthcare,https://revalizesoftware.com/attainia/,https://revalizesoftware.com/careers/,https://www.linkedin.com/company/attainia/about/,"Scottsdale, AZ",Local HQ
100,Avolve Software,Scottsdale,Document Management,11-50,Digital construction document mgmt s/w for governments,http://www.avolvesoftware.com/,https://avolvesoftware.com/about-avolve/careers/,https://www.linkedin.com/company/avolve-software/about/,"21001 N Tatum Blvd., STE 1630-503, Phoenix, AZ 85050, USA",Local HQ
